workload_nops,threads,lock,iterations,run_idx,time_ms_normalized_to_1m_iters
0,1,ttas,1000000,0,6.063000
0,1,ttas,1000000,1,6.062000
0,1,ttas,1000000,2,6.376000
0,1,ttas,1000000,3,6.115000
0,1,ttas,1000000,4,6.456000
0,1,ttas,1000000,5,6.391000
0,1,ttas,1000000,6,6.067000
0,1,mcs,1000000,0,14.558000
0,1,mcs,1000000,1,14.582000
0,1,mcs,1000000,2,14.984000
0,1,mcs,1000000,3,15.085000
0,1,mcs,1000000,4,14.915000
0,1,mcs,1000000,5,14.851000
0,1,mcs,1000000,6,15.124000
0,1,pspin,1000000,0,7.662000
0,1,pspin,1000000,1,8.050000
0,1,pspin,1000000,2,7.654000
0,1,pspin,1000000,3,8.303000
0,1,pspin,1000000,4,7.768000
0,1,pspin,1000000,5,7.705000
0,1,pspin,1000000,6,7.625000
0,2,ttas,1000000,0,15.875000
0,2,ttas,1000000,1,13.793000
0,2,ttas,1000000,2,16.802000
0,2,ttas,1000000,3,13.952000
0,2,ttas,1000000,4,14.581000
0,2,ttas,1000000,5,16.176000
0,2,ttas,1000000,6,14.853000
0,2,mcs,1000000,0,237.718000
0,2,mcs,1000000,1,229.347000
0,2,mcs,1000000,2,235.050000
0,2,mcs,1000000,3,241.991000
0,2,mcs,1000000,4,231.514000
0,2,mcs,1000000,5,228.024000
0,2,mcs,1000000,6,230.165000
0,2,pspin,1000000,0,120.299000
0,2,pspin,1000000,1,110.228000
0,2,pspin,1000000,2,111.361000
0,2,pspin,1000000,3,62.195000
0,2,pspin,1000000,4,115.264000
0,2,pspin,1000000,5,107.268000
0,2,pspin,1000000,6,62.270000
0,4,ttas,1000000,0,37.763000
0,4,ttas,1000000,1,32.992000
0,4,ttas,1000000,2,38.364000
0,4,ttas,1000000,3,34.483000
0,4,ttas,1000000,4,30.064000
0,4,ttas,1000000,5,33.098000
0,4,ttas,1000000,6,34.374000
0,4,mcs,1000000,0,382.387000
0,4,mcs,1000000,1,394.081000
